2	There aren't too many people outside protesting his speech at the Phoenix Convention Center.	2976	There aren't too many people outside protesting his speech at the Phoenix Convention Center.
88	Says President Donald Trump "cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups."	768	Says President Donald Trump "cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups."
88	The Trump Administration cut funding allocated to the Department of Homeland Security to combat white nationalism.	288	The Trump Administration cut funding allocated to the Department of Homeland Security to combat white nationalism.
88	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.	231	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.
100	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.	231	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.
103	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.	231	Says President Donald Trump hasnt condemned David Duke and Richard Spencer.
149	CNN to permanently close its doors as ratings plunge 30 percent.	2047	CNN to permanently close its doors as ratings plunge 30 percent.
149	CNNs ratings are "way down."	3145	CNNs ratings are "way down."
149	Says CNNs Anderson Cooper stood in a ditch during Hurricane Florence to exaggerate water levels.	1600	Says CNNs Anderson Cooper stood in a ditch during Hurricane Florence to exaggerate water levels.
177	There aren't too many people outside protesting his speech at the Phoenix Convention Center.	2976	There aren't too many people outside protesting his speech at the Phoenix Convention Center.
210	Trump refuses to denounce the KKK.	5298	Trump refuses to denounce the KKK.
212	President Obama has "stopped using the phrase 'war on terror.' "	13260	President Obama has "stopped using the phrase 'war on terror.' "
212	Says President Barack Obama "will not utter the words radical Islamic terrorism and as matter of policy, nobody in the administration will say the words radical Islamic terrorism."	5671	Says President Barack Obama "will not utter the words radical Islamic terrorism and as matter of policy, nobody in the administration will say the words radical Islamic terrorism."
212	In President Barack Obamas 2015 State of the Union address, "the words alQaida were never used, the first time those words have not been used in a State of the Union address since February 2001."	6812	In President Barack Obamas 2015 State of the Union address, "the words alQaida were never used, the first time those words have not been used in a State of the Union address since February 2001."
216	Says "the New York Times can write a story that they know is false" yet "they can't basically be sued."	5342	Says "the New York Times can write a story that they know is false" yet "they can't basically be sued."
216	Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!	4000	Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!
216	Says the media distortedwhat happened with a baby at his rally.	4511	Says the media distortedwhat happened with a baby at his rally.
216	Someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Dont know why Washington politicians dont change libel laws?	1662	Someone can write an article or book, totally make up stories and form a picture of a person that is literally the exact opposite of the fact, and get away with it without retribution or cost. Dont know why Washington politicians dont change libel laws?
259	First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.	4215	First, Donald Trump said wages are too high, and both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.
259	Wages "havent gone up for a long time."	2994	Wages "havent gone up for a long time."
259	When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.	2328	When I was campaigning, I was talking about 18 and 20 years (when) wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.
260	Wages "havent gone up for a long time."	2994	Wages "havent gone up for a long time."
260	Most folks wages havent gone up in over a decade.	8218	Most folks wages havent gone up in over a decade.
261	Wages "havent gone up for a long time."	2994	Wages "havent gone up for a long time."
325	The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.	3943	The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.
386	The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.	14830	The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.
386	A couple of hundred American cities are infested by members of the Mexican cartels.	12894	A couple of hundred American cities are infested by members of the Mexican cartels.
387	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!	3414	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
387	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
387	Says of MS13 gang members, "We are getting them out of our country by the thousands."	2073	Says of MS13 gang members, "We are getting them out of our country by the thousands."
387	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
388	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
390	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
395	Says Donald Trump said, "Immigrants arent people, theyre animals."	395	Says Donald Trump said, "Immigrants arent people, theyre animals."
397	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
398	I have watched ICE liberate towns from the grasp of MS13.	1885	I have watched ICE liberate towns from the grasp of MS13.
398	We're pretty much at the 50 percent mark on deportations of MS13 gang members.	3150	We're pretty much at the 50 percent mark on deportations of MS13 gang members.
403	Were the only nation in the world that does not use the military to secure our border.	6344	Were the only nation in the world that does not use the military to secure our border.
403	Says the United States has "treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress."	4854	Says the United States has "treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress."
404	Were  getting into the pool of the 100 million people that are not working. That pool is now coming back.	2619	Were  getting into the pool of the 100 million people that are not working. That pool is now coming back.
406	Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.	2460	Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.
406	Says iPads and iPhones "are built in the United States of America."	13448	Says iPads and iPhones "are built in the United States of America."
406	Say Apples Tim Cook "will not do business with Indiana."	6558	Say Apples Tim Cook "will not do business with Indiana."
408	Says most illegal immigrants draw "welfare benefits, theyre sending their kids to school, theyre using the public services."	4240	Says most illegal immigrants draw "welfare benefits, theyre sending their kids to school, theyre using the public services."
408	We have over 700,000 illegal immigrants in the state. They're costing us billions of dollars and they're taking legal residents' jobs.	14575	We have over 700,000 illegal immigrants in the state. They're costing us billions of dollars and they're taking legal residents' jobs.
408	We could cut unemployment in half simply by reclaiming the jobs taken by illegal workers.	14589	We could cut unemployment in half simply by reclaiming the jobs taken by illegal workers.
424	The border is down 78 percent. Under past administrations, the border didnt go down  it went up.	3040	The border is down 78 percent. Under past administrations, the border didnt go down  it went up.
424	We stopped traffic coming through  78 percent.	2949	We stopped traffic coming through  78 percent.
424	There are about 350,000 people who succeed in crossing our borders illegally each year.	4672	There are about 350,000 people who succeed in crossing our borders illegally each year.
