75	Today, "the United States is the most respected country on Earth."	6359	Today, "the United States is the most respected country on Earth."
142	America is a nation of builders. We built the Empire State Building in just one year. Isnt it a disgrace that it can now take 10 years just to get a minor permit approved for the building of a simple road?	2468	America is a nation of builders. We built the Empire State Building in just one year. Isnt it a disgrace that it can now take 10 years just to get a minor permit approved for the building of a simple road?
145	Anywhere in the world, when someone uses a mobile phone, email, the Internet or GPS, they are enjoying the benefits of the American miracle.	12914	Anywhere in the world, when someone uses a mobile phone, email, the Internet or GPS, they are enjoying the benefits of the American miracle.
151	The United States of America, right now, has the strongest, most durable economy in the world.	5553	The United States of America, right now, has the strongest, most durable economy in the world.
151	Yesterday we had the strongest dollar in the history of our country.	246	Yesterday we had the strongest dollar in the history of our country.
151	Business spirit is the highest it's ever been, according to polls.	3049	Business spirit is the highest it's ever been, according to polls.
151	Consumer confidence, business confidence, and manufacturing confidence are the highest they have been in many decades.	2447	Consumer confidence, business confidence, and manufacturing confidence are the highest they have been in many decades.
155	My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.	3021	My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.
155	Even our nuclear arsenal doesn't work. It came out recently they have equipment that is 30 years old. They don't know if it worked.	6297	Even our nuclear arsenal doesn't work. It came out recently they have equipment that is 30 years old. They don't know if it worked.
156	The sequester "wont consider whether were cutting some bloated program that has outlived its usefulness, or a vital service that Americans depend on every single day. It doesnt make those distinctions."	9677	The sequester "wont consider whether were cutting some bloated program that has outlived its usefulness, or a vital service that Americans depend on every single day. It doesnt make those distinctions."
156	Due to the sequester, "people are going to be unsafe. Homes are going to burn."	9647	Due to the sequester, "people are going to be unsafe. Homes are going to burn."
156	If the sequester hits, federal prosecutors will have to "let criminals go."	9668	If the sequester hits, federal prosecutors will have to "let criminals go."
159	Just last year we gave the military a $700 billion budget increase, which they didnt even ask for.	1780	Just last year we gave the military a $700 billion budget increase, which they didnt even ask for.
161	Just last year we gave the military a $700 billion budget increase, which they didnt even ask for.	1780	Just last year we gave the military a $700 billion budget increase, which they didnt even ask for.
166	Under sequestration, the military was cut "down to the smallest Army since 1940, the smallest Navy since 1915."	7200	Under sequestration, the military was cut "down to the smallest Army since 1940, the smallest Navy since 1915."
166	Says President Obama "is reducing our naval fleet to 1917 levels..."	6207	Says President Obama "is reducing our naval fleet to 1917 levels..."
166	Barack Obama, right now, No. 1, over seven years has dramatically degraded our military.	5502	Barack Obama, right now, No. 1, over seven years has dramatically degraded our military.
166	The United States is "about to have the smallest Army since before WWII, the smallest Navy since WWI and the smallest Air Force ever."	6454	The United States is "about to have the smallest Army since before WWII, the smallest Navy since WWI and the smallest Air Force ever."
166	The U.S. military is at risk of losing its "military superiority" because "our Navy is smaller than it's been since 1917. Our Air Force is smaller and older than any time since 1947."	11769	The U.S. military is at risk of losing its "military superiority" because "our Navy is smaller than it's been since 1917. Our Air Force is smaller and older than any time since 1947."
166	Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016.	3771	Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016.
167	President Trump proposed the increase to $700 billion to our military budget, which included the 355ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Sen. Tim Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.	1810	President Trump proposed the increase to $700 billion to our military budget, which included the 355ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Sen. Tim Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.
174	Says the 2018 defense authorization bill includes raises for the military "for the first time in 10 years."	2085	Says the 2018 defense authorization bill includes raises for the military "for the first time in 10 years."
175	Says troops recently received "one of the biggest pay raises" ever, and that it was the first pay increase in "more than 10 years."	1167	Says troops recently received "one of the biggest pay raises" ever, and that it was the first pay increase in "more than 10 years."
175	Says the 2018 defense authorization bill includes raises for the military "for the first time in 10 years."	2085	Says the 2018 defense authorization bill includes raises for the military "for the first time in 10 years."
175	The National Defense Authorization Act for fiscal year 2019 "includes the largest pay raise in nearly 10 years."	1195	The National Defense Authorization Act for fiscal year 2019 "includes the largest pay raise in nearly 10 years."
176	Says troops recently received "one of the biggest pay raises" ever, and that it was the first pay increase in "more than 10 years."	1167	Says troops recently received "one of the biggest pay raises" ever, and that it was the first pay increase in "more than 10 years."
