43	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
44	Says former FBI Director James Comey admitted to leaking classified information.	3223	Says former FBI Director James Comey admitted to leaking classified information.
68	Corporations have NEVER made as much money as they are making now.	3046	Corporations have NEVER made as much money as they are making now.
68	The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.	3661	The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.
70	The Texas unemployment rate is now the lowest its been in 40 years  Texas led the nation last month in new job creation.	2678	The Texas unemployment rate is now the lowest its been in 40 years  Texas led the nation last month in new job creation.
76	Last year we lost $500 billion on trade with China.	2257	Last year we lost $500 billion on trade with China.
76	We have been losing to China for many years, $500 billion a year. Mostly False http://politifact.com/wisconsin/statements/2019/apr/30/donald-trump/president-trumps-china-trade-deficit-claim-doesnt-/ on Tuesday, April 30th, 2019  76 We lost $500 billion in trade deficits last year. 5752 Were losing now over $500 billion a year in terms of imbalance with China."	689	We have been losing to China for many years, $500 billion a year. Mostly False http://politifact.com/wisconsin/statements/2019/apr/30/donald-trump/president-trumps-china-trade-deficit-claim-doesnt-/ on Tuesday, April 30th, 2019  76 We lost $500 billion in trade deficits last year. 5752 Were losing now over $500 billion a year in terms of imbalance with China."
76	Our trade deficit in goods reached nearly  $800 billion last year alone.	4630	Our trade deficit in goods reached nearly  $800 billion last year alone.
78	When a car is sent to the United States from China, there is a Tariff to be paid of 2 12%. When a car is sent to China from the United States, there is a Tariff to be paid of 25%.	2210	When a car is sent to the United States from China, there is a Tariff to be paid of 2 12%. When a car is sent to China from the United States, there is a Tariff to be paid of 25%.
86	The Chinese last year probably stole $360 billion inintellectual property from the United States.	4956	The Chinese last year probably stole $360 billion inintellectual property from the United States.
95	Since China joined thats another beauty the WTO in 2001, the U.S. has lost many more than 60,000 factories.	3518	Since China joined thats another beauty the WTO in 2001, the U.S. has lost many more than 60,000 factories.
95	Weve lost 70,000 factories since China joined the World Trade Organization.	3409	Weve lost 70,000 factories since China joined the World Trade Organization.
103	Our trade deficit in goods reached nearly  $800 billion last year alone.	4630	Our trade deficit in goods reached nearly  $800 billion last year alone.
119	South Korea doesn't pay the United States for U.S. troops that protect their country.	13323	South Korea doesn't pay the United States for U.S. troops that protect their country.
131	Canada charges the U.S. a 270% tariff on Dairy Products! They didnt tell you that, did they? Not fair to our farmers!	1968	Canada charges the U.S. a 270% tariff on Dairy Products! They didnt tell you that, did they? Not fair to our farmers!
153	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!	3414	The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
154	When I became president, President Obama had a separation policy. I didnt have it. He had it.	506	When I became president, President Obama had a separation policy. I didnt have it. He had it.
154	The Trump administrations policy of separating families is "the same way Barack Obama did it."	1952	The Trump administrations policy of separating families is "the same way Barack Obama did it."
154	Says of immigrant family separations at the border, "we had the exact same policy as the Obama administration."	1234	Says of immigrant family separations at the border, "we had the exact same policy as the Obama administration."
