annotator	line_number	vclaim_id	vclaim_date	vclaim_url	label	sentence	vclaim	stance	verdict	
ni	16	3240	on Monday, June 5th, 2017	http://politifact.com/truth-o-meter/statements/2017/jun/05/scott-pruitt/are-coal-mining-jobs-50000-last-year-not-exactly/	Mostly False	As President, we are putting our coal miners back to work.	Since the fourth quarter of last year until most recently, we've added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.	agree	unknown	
ai	16	1619	on Thursday, September 13th, 2018	http://politifact.com/west-virginia/statements/2018/sep/13/patrick-morrisey/did-joe-manchin-stick-hillary-clinton-after-contro/	Mostly True	As President, we are putting our coal miners back to work.	Says Joe Manchin "strongly supported and voted for Hillary Clinton after she said, Were going to put a lot of coal miners and coal companies out of work."	unrelated	unknown	
ai	16	3388	on Tuesday, April 25th, 2017	http://politifact.com/illinois/statements/2017/apr/25/brad-schneider/are-there-three-times-many-solar-energy-jobs-coal-/	Mostly True	As President, we are putting our coal miners back to work.	More than 260,000 Americans are employed by the domestic solar industry  three times as many workers as employed by the entire coal mining industry.	unrelated	unknown	
ai	16	4984	on Tuesday, May 10th, 2016	http://politifact.com/truth-o-meter/statements/2016/may/10/hillary-clinton/hillary-clinton-says-market-forces-made-coal-compa/	Mostly True	As President, we are putting our coal miners back to work.	The market is making this decision. The market has driven down the cost of coal, so you have companies going bankrupt.	disagree	FALSE	
ai	16	10051	on Wednesday, October 31st, 2012	http://politifact.com/ohio/statements/2012/oct/31/sherrod-brown/sherrod-brown-says-coal-jobs-and-coal-production-b/	TRUE	As President, we are putting our coal miners back to work.	There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs.	agree	TRUE	
ai	16	7651	on Sunday, July 6th, 2014	http://politifact.com/rhode-island/statements/2014/jul/06/sheldon-whitehouse/there-are-already-more-american-jobs-solar-industr/	TRUE	As President, we are putting our coal miners back to work.	There are already more American jobs in the solar industry than in coal mining.	unrelated	unknown	
ai	16	13266	on Tuesday, April 12th, 2011	http://politifact.com/virginia/statements/2011/apr/12/robert-hurt/robert-hurt-says-cap-and-trade-would-cost-50000-vi/	Mostly False	As President, we are putting our coal miners back to work.	A capandtrade bill would "destroy over 50,000 jobs in Virginia."	unrelated	unknown	
ai	16	1417	on Wednesday, October 24th, 2018	http://politifact.com/ohio/statements/2018/oct/24/donald-trump/facts-trump-and-ohio-steel-mills/	Half-True	As President, we are putting our coal miners back to work.	All across Ohio, steel mills are reopening.	unrelated	unknown	
ai	16	139	on Friday, September 20th, 2019	http://politifact.com/west-virginia/statements/2019/sep/20/cecil-roberts/are-1600-new-coal-fired-power-plants-being-constru/	Mostly False	As President, we are putting our coal miners back to work.	There are 1,600 new coalfired power plants being constructed as I speak around the world.	unrelated	unknown	
ai	16	8848	on Monday, September 23rd, 2013	http://politifact.com/truth-o-meter/statements/2013/sep/23/mitch-mcconnell/mcconnell-links-obama-war-coal/	Mostly False	As President, we are putting our coal miners back to work.	The presidents own advisers have said theres a war on coal.	disagree	unknown	
