line_number	vclaim_id	sentence	vclaim	comment-1	comment-2	comment-3	stance-1	stance-2	stance-3	stance	verdict-1	verdict-2	verdict-3	verdict
75	6359	And we are respected again, I can tell you that.	Today, "the United States is the most respected country on Earth."			was respected before also?	not-claim	unrelated	discuss	discuss	not-claim	unknown	unknown	unknown
127	8752	They have forgotten that our ancestors trounced an empire, tamed a continent, and triumphed over the worst evils in history.	Neville Chamberlain told the British people Accept the Nazis. Yes, they will dominate the continent of Europe, but that is not our problem. Let's appease them. Why? Because it can't be done. We cannot possibly stand against them.		not-important		unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
127	6737	They have forgotten that our ancestors trounced an empire, tamed a continent, and triumphed over the worst evils in history.	Over 200 years ago, the United States had declared war on Islam, and Thomas Jefferson led the charge!		not-important		discuss	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
132	12385	America is the greatest fighting force for peace, justice, and freedom in the history of the world.	President Obama "went around the world and apologized for America."		opinion		unrelated	not-claim	unrelated	unrelated	unknown	not-claim	unknown	unknown
132	1897	America is the greatest fighting force for peace, justice, and freedom in the history of the world.	Says Ronald Reagan said immigrants"brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again."		opinion		unrelated	not-claim	unrelated	unrelated	unknown	not-claim	unknown	unknown
132	15212	America is the greatest fighting force for peace, justice, and freedom in the history of the world.	Several times, Obama "has apologized for what he deems to be American arrogance, dismissiveness, and derision for dictating solutions, for acting unilaterally ... ."		opinion		unrelated	not-claim	discuss	unrelated	unknown	not-claim	unknown	unknown
132	12992	America is the greatest fighting force for peace, justice, and freedom in the history of the world.	A few months into office, (President Barack Obama) traveled around the globe to apologize for America.		opinion		unrelated	not-claim	unrelated	unrelated	unknown	not-claim	unknown	unknown
142	2468	We are the nation that built the highways, the railroads, the Empire State Building in one year, the Golden Gate Bridge, and we are the nation that built the Panama Canal.	America is a nation of builders. We built the Empire State Building in just one year. Isnt it a disgrace that it can now take 10 years just to get a minor permit approved for the building of a simple road?				agree	agree	agree	agree	unknown	unknown	unknown	unknown
144	13740	We won two world wars, defeated communism and fascism, and put a man on the face of the moon.	Says the first word spoken from the moon was "Houston."				unrelated	agree	unrelated	unrelated	unknown	unknown	unknown	unknown
145	12914	We cured disease, pioneered science, and produced timeless works of art that inspire the human soul.	Anywhere in the world, when someone uses a mobile phone, email, the Internet or GPS, they are enjoying the benefits of the American miracle.				agree	agree	agree	agree	unknown	unknown	unknown	unknown
151	5553	Our economy is the strongest it has ever been.	The United States of America, right now, has the strongest, most durable economy in the world.			Date??	agree	agree	agree	agree	TRUE	TRUE	TRUE	TRUE
151	246	Our economy is the strongest it has ever been.	Yesterday we had the strongest dollar in the history of our country.	look at date?	date		agree	agree	discuss	agree	TRUE	unknown	unknown	unknown
151	3049	Our economy is the strongest it has ever been.	Business spirit is the highest it's ever been, according to polls.				discuss	discuss	discuss	discuss	unknown	unknown	unknown	unknown
151	2447	Our economy is the strongest it has ever been.	Consumer confidence, business confidence, and manufacturing confidence are the highest they have been in many decades.				discuss	discuss	agree	discuss	unknown	unknown	unknown	unknown
155	3021	We have begun the great rebuilding of the United States military.	My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.				agree	agree	agree	agree	unknown	unknown	unknown	unknown
155	6297	We have begun the great rebuilding of the United States military.	Even our nuclear arsenal doesn't work. It came out recently they have equipment that is 30 years old. They don't know if it worked.				discuss	discuss	discuss	discuss	unknown	unknown	unknown	unknown
155	4565	We have begun the great rebuilding of the United States military.	Says Donald Trump "claimed our armed forces are 'a disaster.'"				unrelated	discuss	unrelated	unrelated	unknown	unknown	unknown	unknown
156	8167	We have ended the disastrous defense sequester.	It isn't me cutting the budget. It's the Congress'decision on sequestration. So it isn't secretary of defense or the president doing this.				unrelated	discuss	unrelated	unrelated	unknown	unknown	unknown	unknown
156	8560	We have ended the disastrous defense sequester.	I did not support the sequester.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
156	10091	We have ended the disastrous defense sequester.	The sequester is not something that I've proposed. It is something that Congress has proposed.		date		unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
156	9638	We have ended the disastrous defense sequester.	There's no plan from Senate Democrats or the White House to replace the sequester.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
156	9677	We have ended the disastrous defense sequester.	The sequester "wont consider whether were cutting some bloated program that has outlived its usefulness, or a vital service that Americans depend on every single day. It doesnt make those distinctions."	describes "disastrous"			discuss	discuss	agree	discuss	unknown	unknown	unknown	unknown
156	9725	We have ended the disastrous defense sequester.	Military spending cuts, known as the sequester, were President Barack Obamas idea.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
156	9647	We have ended the disastrous defense sequester.	Due to the sequester, "people are going to be unsafe. Homes are going to burn."	describes "disastrous"	date/partial		discuss	discuss	agree	discuss	unknown	unknown	unknown	unknown
156	9668	We have ended the disastrous defense sequester.	If the sequester hits, federal prosecutors will have to "let criminals go."	describes "disastrous"	date/partial		discuss	discuss	agree	discuss	unknown	unknown	unknown	unknown
159	1780	And we have just secured, you have read all about it, a $700 billion, largestever amount of money to support our great war fighters.	Just last year we gave the military a $700 billion budget increase, which they didnt even ask for.	they didnt ask for it?	last year mentioned in the claim		agree	discuss	agree	agree	FALSE	unknown	unknown	unknown
161	1780	They're liking the sound of million, but billion is betterthe $700 billion goes to $716 billion, and we are going to be stronger than ever before.	Just last year we gave the military a $700 billion budget increase, which they didnt even ask for.	they didnt ask for it?	partial claim		agree	agree	agree	agree	FALSE	unknown	unknown	unknown
166	7200	We have now the lowest number of ships we have had since World War I.	Under sequestration, the military was cut "down to the smallest Army since 1940, the smallest Navy since 1915."			Date?	agree	agree	agree	agree	unknown	unknown	unknown	unknown
166	6207	We have now the lowest number of ships we have had since World War I.	Says President Obama "is reducing our naval fleet to 1917 levels..."			Date?	discuss	agree	agree	agree	unknown	FALSE	FALSE	FALSE
166	5502	We have now the lowest number of ships we have had since World War I.	Barack Obama, right now, No. 1, over seven years has dramatically degraded our military.				discuss	discuss	agree	discuss	unknown	unknown	unknown	unknown
166	6454	We have now the lowest number of ships we have had since World War I.	The United States is "about to have the smallest Army since before WWII, the smallest Navy since WWI and the smallest Air Force ever."		date	Date?	agree	agree	agree	agree	unknown	unknown	unknown	unknown
166	11769	We have now the lowest number of ships we have had since World War I.	The U.S. military is at risk of losing its "military superiority" because "our Navy is smaller than it's been since 1917. Our Air Force is smaller and older than any time since 1947."		date		agree	agree	agree	agree	unknown	unknown	FALSE	unknown
