line_number	vclaim_id	sentence	vclaim	comment-1	comment-2	comment-3	stance-1	stance-2	stance-3	stance	verdict-1	verdict-2	verdict-3	verdict
43	3223	It was Comey having to do  talking about Comey, not my FBI.	Says former FBI Director James Comey admitted to leaking classified information.				agree	agree	discuss	agree	unknown	unknown	unknown	unknown
43	4688	It was Comey having to do  talking about Comey, not my FBI.	Just look at what the FBI director said about her (Hillary Clinton)  her misconduct is a disgrace and embarrassment to our country.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
44	3223	It was Comey.	Says former FBI Director James Comey admitted to leaking classified information.		need context		agree	not-claim	discuss	discuss	unknown	not-claim	unknown	unknown
48	3200	You look at what happened They were plotting against my election.	There are currently 6 million jobs available in this country that are due in part to the skills gap.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
50	3200	But they were actually plotting against my election.	There are currently 6 million jobs available in this country that are due in part to the skills gap.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
56	855	The headline right now from the Wall Street Journal, "DOJ Clinton Report Blasts Comey And Agents But Finds No Bias In Conclusion."	Shows a photo of two similar Wall Street Journal newspapers with different headlines about President Donald Trump, and describes the editions as, "Same paper, same dates, different markets. What did you just learn? Feeling manipulated yet?"				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
59	2413	I mean, when you look at Peter Strzok and what he said about me, when you look at Comey all his moves.	The "FBI was actively investigating Hillary Clinton's use of a private email server" on Sept. 2, 2016.		context		unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
59	1821	I mean, when you look at Peter Strzok and what he said about me, when you look at Comey all his moves.	Says FBI agent Peter Strzoks hearing confirmed Republican Congressman Jim Jordans theory about how the Justice Department got the Steele dossier.		context		unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
59	694	I mean, when you look at Peter Strzok and what he said about me, when you look at Comey all his moves.	The Russia investigation "was a coup. This was an attempted overthrow of the United States government."		context		unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
59	1179	I mean, when you look at Peter Strzok and what he said about me, when you look at Comey all his moves.	Says 19,000 text messages exchanged between former FBI officials that were "purposely and illegally deleted ... would have explained (the special counsel investigation) hoax."		context		unrelated	unrelated	agree	unrelated	unknown	unknown	unknown	unknown
59	4688	I mean, when you look at Peter Strzok and what he said about me, when you look at Comey all his moves.	Just look at what the FBI director said about her (Hillary Clinton)  her misconduct is a disgrace and embarrassment to our country.		context		unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
62	6275	He goes point after point about how guilty Hillary is and then he said, "But we're not going to do anything about it."	Says Hillary Clinton "was completely exonerated, when I was in the White House" by an officialinquiryon Whitewater.				agree	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
62	16470	He goes point after point about how guilty Hillary is and then he said, "But we're not going to do anything about it."	An anonymous email says that Hillary Clinton advocates communism.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
68	3046	While in the meantime the economy hit an alltime high this morning.	Corporations have NEVER made as much money as they are making now.				agree	agree	unrelated	agree	unknown	unknown	unknown	unknown
68	8199	While in the meantime the economy hit an alltime high this morning.	Our economy (in Louisiana) has grown 50 percent faster than the national GDP, even since the national recession.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
68	14432	While in the meantime the economy hit an alltime high this morning.	Says Texas U.S. Rep. Pete Sessions said the GOP's goal is to "go back to the same exact policies that were in place before this president took office... policies that crashed the economy."				discuss	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
68	3661	While in the meantime the economy hit an alltime high this morning.	The stock market has hit record numbers, as you know. And there has been a tremendous surge of optimism in the business world.		date		agree	agree	agree	agree	unknown	unknown	unknown	unknown
70	12500	Jobless rate the lowest  the best in 44 years, just came out.	Congressional Budget Office "says 8 (percent) unemployment till 2014!"				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
70	6793	Jobless rate the lowest  the best in 44 years, just came out.	The U.S. unemployment rate has "been massaged, its been doctored."				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
70	2678	Jobless rate the lowest  the best in 44 years, just came out.	The Texas unemployment rate is now the lowest its been in 40 years  Texas led the nation last month in new job creation.				agree	agree	agree	agree	FALSE	unknown	unknown	unknown
70	11702	Jobless rate the lowest  the best in 44 years, just came out.	Our jobless rate, our unemployment rate, is the lowest of all of the big cities in New Jersey.				unrelated	agree	unrelated	unrelated	unknown	unknown	unknown	unknown
70	5868	Jobless rate the lowest  the best in 44 years, just came out.	Virginias current unemployment rate is "the lowest in Virginia history."				unrelated	agree	unrelated	unrelated	unknown	unknown	unknown	unknown
70	10217	Jobless rate the lowest  the best in 44 years, just came out.	This is what President Obama said the jobless rate would be if we passed the stimulus 5.6 percent.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
70	3341	Jobless rate the lowest  the best in 44 years, just came out.	When I became mayor of Los Angeles, we had a 44 percent (high school) graduation rate. I said that was unacceptable. I challenged that notion. I said the mayor needs to be involved with our schools. We need to partner together. As I left, after a number of reforms, we grew our graduation rate from 44 percent to 72.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
